Time,Start,Highest,Lowest,End,SMA5,SMA10,SMA20,WI6,WI12,WI20,"K(9,3)","D(9,3)",RSI 6,RSI 12,Trading volumn,MA5,MA10,Foreign investor,Net buy/sell,DIF12-26,MACD9,OSC
2015/2/4,9477.52,9533.88,9477.52,9513.92,9427.69,9448.91,9329.09,-10.99%,-5.60%,-4.70%,72.25%,72.93%,69.19%,65.09%,982.75,840.21,904.28,865.35 ,103.42,83.62,76.38,7.23
2015/2/5,9511.06,9517.42,9472.42,9512.05,9444.72,9463.16,9342.79,-12.01%,-8.45%,-5.14%,77.50%,74.45%,68.71%,64.88%,744.21,821.98,879.69,887.87 ,22.52,85.42,78.19,7.23
2015/2/6,9521.88,9521.88,9448.65,9456.18,9463.57,9461.69,9354.82,-42.77%,-39.43%,-18.31%,70.74%,73.21%,54.97%,58.84%,728.79,792.96,832.67,900.58 ,12.7,83.25,79.2,4.05
2015/2/9,9465.12,9465.12,9413.18,9421.5,9470.48,9456.07,9366.98,-61.85%,-61.85%,-26.48%,59.88%,68.77%,47.84%,55.34%,664.08,779.66,808.36,933.25 ,32.67,77.38,78.84,-1.46
2015/2/10,9405.59,9435.07,9390.13,9393.7,9459.47,9443.28,9375.08,-97.52%,-77.15%,-33.03%,47.53%,61.69%,42.54%,52.61%,747.99,773.56,791.97,977.57 ,44.32,69.73,77.02,-7.29
2015/2/11,9430.17,9488.72,9430.17,9462.22,9449.13,9438.41,9389.18,-49.85%,-39.44%,-16.88%,51.88%,58.42%,56.73%,58.16%,974.22,771.86,806.03,1052.27 ,74.7,67.54,75.12,-7.58
2015/2/12,9496.39,9500.35,9447.19,9496.31,9445.98,9445.35,9405.74,-19.41%,-20.68%,-8.85%,61.02%,59.29%,62.29%,60.66%,769.6,776.94,799.46,1137.24 ,84.97,66.99,73.5,-6.51
2015/2/13,9500.04,9542.09,9499.97,9529.51,9460.65,9462.11,9425.3,-8.28%,-6.62%,-3.22%,71.26%,63.28%,67.21%,63.01%,775.83,786.34,789.65,1262.89 ,125.65,69,72.6,-3.59
2015/2/24,9582.39,9638.48,9582.39,9629.37,9502.22,9486.35,9448.07,-3.67%,-3.18%,-1.98%,79.62%,68.72%,77.72%,69.07%,1147.87,883.1,831.38,1380.53 ,117.64,77.34,73.55,3.8
2015/2/25,9655.72,9699.54,9653.77,9699.54,9563.39,9511.43,9470.46,0.00%,0.00%,0.00%,86.41%,74.62%,82.45%,72.52%,971.95,927.89,850.73,1523.16 ,142.63,88.44,76.52,11.91
2015/2/26,9687.48,9688.07,9610.59,9622.1,9595.37,9522.25,9485.58,-28.75%,-25.03%,-21.35%,82.60%,77.28%,64.34%,63.93%,985.96,930.24,851.05,1607.39 ,84.23,91.94,79.61,12.33
2015/3/2,9665.11,9690.43,9588.36,9601.36,9616.38,9531.18,9497.17,-38.91%,-31.73%,-28.27%,77.82%,77.46%,60.09%,61.80%,928.3,961.98,869.46,1617.01 ,9.62,92.41,82.17,10.25
2015/3/3,9628.06,9642.95,9571.64,9605.77,9631.63,9546.14,9503.91,-46.99%,-30.31%,-27.00%,75.11%,76.68%,60.75%,62.09%,859.87,978.79,882.57,1656.20 ,39.19,90.63,83.86,6.77
2015/3/4,9596.24,9635.18,9580.78,9621.73,9630.1,9566.16,9511.12,-60.84%,-25.15%,-22.40%,73.78%,75.71%,63.38%,63.21%,850.82,919.38,901.24,1719.41 ,63.21,88.86,84.86,4
